nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 299098 299098 0 195033 6LVBQ 91 91 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 58 58 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 56 56 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 54 54 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 55 55 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 54 54 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 53 53 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 52 52 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 53 53 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 53 53 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298989 264346 34643 1251824 1LVBQDK 53 53 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 61 61 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 298988 264346 34642 1418800 2LVBQDK 59 59 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 68 68 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 67 67 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
NY 264346 733846 36946 339321 288896 50425 111730 3LVBQDK 66 66 0 0 0 0 0 0 0 0 0
