nome n m c fila mem
MEM2 100000 500000 100 2LVBQ 40644608
MEM2 100000 500000 100 3LVBQ 41902080
MEM2 100000 500000 100 4LVBQ 45613056
MEM2 100000 500000 100 5LVBQ 43323392
MEM2 100000 500000 100 6LVBQ 43528192
MEM2 100000 500000 100 2LVBQDK 40722432
MEM2 100000 500000 100 3LVBQDK 41254912
MEM2 100000 500000 100 4LVBQDK 41385984
MEM2 100000 500000 100 5LVBQDK 41385984
MEM2 100000 500000 100 6LVBQDK 41381888
MEM2 100000 500000 100 BINH 40333312
MEM2 100000 500000 100 FIBH 41938944
MEM3 100000 500000 1000 2LVBQ 40628224
MEM3 100000 500000 1000 3LVBQ 40792064
MEM3 100000 500000 1000 4LVBQ 42369024
MEM3 100000 500000 1000 5LVBQ 42217472
MEM3 100000 500000 1000 6LVBQ 42151936
MEM3 100000 500000 1000 2LVBQDK 40570880
MEM3 100000 500000 1000 3LVBQDK 41234432
MEM3 100000 500000 1000 4LVBQDK 41369600
MEM3 100000 500000 1000 5LVBQDK 41222144
MEM3 100000 500000 1000 6LVBQDK 41230336
MEM3 100000 500000 1000 BINH 40316928
MEM3 100000 500000 1000 FIBH 41852928
MEM4 100000 500000 10000 2LVBQ 40505344
MEM4 100000 500000 10000 3LVBQ 40538112
MEM4 100000 500000 10000 4LVBQ 42106880
MEM4 100000 500000 10000 5LVBQ 41095168
MEM4 100000 500000 10000 6LVBQ 41062400
MEM4 100000 500000 10000 2LVBQDK 40706048
MEM4 100000 500000 10000 3LVBQDK 41340928
MEM4 100000 500000 10000 4LVBQDK 41369600
MEM4 100000 500000 10000 5LVBQDK 41238528
MEM4 100000 500000 10000 6LVBQDK 41365504
MEM4 100000 500000 10000 BINH 40185856
MEM4 100000 500000 10000 FIBH 41975808
MEM5 100000 500000 100000 2LVBQ 40599552
MEM5 100000 500000 100000 3LVBQ 40525824
MEM5 100000 500000 100000 4LVBQ 41431040
MEM5 100000 500000 100000 5LVBQ 41373696
MEM5 100000 500000 100000 6LVBQ 41123840
MEM5 100000 500000 100000 2LVBQDK 40714240
MEM5 100000 500000 100000 3LVBQDK 41246720
MEM5 100000 500000 100000 4LVBQDK 41377792
MEM5 100000 500000 100000 5LVBQDK 41246720
MEM5 100000 500000 100000 6LVBQDK 41246720
MEM5 100000 500000 100000 BINH 40329216
MEM5 100000 500000 100000 FIBH 41984000
MEM6 100000 500000 999998 2LVBQ 41140224
MEM6 100000 500000 999998 3LVBQ 41398272
MEM6 100000 500000 999998 4LVBQ 40857600
MEM6 100000 500000 999998 5LVBQ 42541056
MEM6 100000 500000 999998 6LVBQ 42684416
MEM6 100000 500000 999998 2LVBQDK 40747008
MEM6 100000 500000 999998 3LVBQDK 41377792
MEM6 100000 500000 999998 4LVBQDK 41246720
MEM6 100000 500000 999998 5LVBQDK 41242624
MEM6 100000 500000 999998 6LVBQDK 41377792
MEM6 100000 500000 999998 BINH 40325120
MEM6 100000 500000 999998 FIBH 41930752
MEM7 100000 500000 9999980 2LVBQ 41345024
MEM7 100000 500000 9999980 3LVBQ 40747008
MEM7 100000 500000 9999980 4LVBQ 40431616
MEM7 100000 500000 9999980 5LVBQ 41041920
MEM7 100000 500000 9999980 6LVBQ 41164800
MEM7 100000 500000 9999980 2LVBQDK 40845312
MEM7 100000 500000 9999980 3LVBQDK 41377792
MEM7 100000 500000 9999980 4LVBQDK 41189376
MEM7 100000 500000 9999980 5LVBQDK 41373696
MEM7 100000 500000 9999980 6LVBQDK 41373696
MEM7 100000 500000 9999980 BINH 40321024
MEM7 100000 500000 9999980 FIBH 41984000
MEM8 100000 500000 99999791 2LVBQ 42119168
MEM8 100000 500000 99999791 3LVBQ 41857024
MEM8 100000 500000 99999791 4LVBQ 41091072
MEM8 100000 500000 99999791 5LVBQ 41259008
MEM8 100000 500000 99999791 6LVBQ 40656896
MEM8 100000 500000 99999791 2LVBQDK 41111552
MEM8 100000 500000 99999791 3LVBQDK 41263104
MEM8 100000 500000 99999791 4LVBQDK 41250816
MEM8 100000 500000 99999791 5LVBQDK 41385984
MEM8 100000 500000 99999791 6LVBQDK 41226240
MEM8 100000 500000 99999791 BINH 40337408
MEM8 100000 500000 99999791 FIBH 41979904
