nome n m c insert extractMin dk bkmp upd fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298624 298624 0 917980 0 1LVBQ 65 65 185354637 2774630 283093 110406 163358372 395355457 12837 0 72416854 724807
NY 264346 733846 36946 298741 298741 0 831499 0 1LVBQ 65 65 183699306 2784631 288094 116396 157962417 391112107 12709 0 72134789 728535
NY 264346 733846 36946 298820 298820 0 790126 0 1LVBQ 64 64 183380594 2811272 279887 111570 154010031 383629380 11767 0 71667381 721787
NY 264346 733846 36946 298815 298815 0 1008314 0 1LVBQ 66 66 186763024 2765345 313321 132390 166166459 403283591 12054 0 72796542 734600
NY 264346 733846 36946 298923 298923 0 702910 0 1LVBQ 66 66 183920888 2735102 292603 117253 161668777 391960132 13115 0 72260137 740833
NY 264346 733846 36946 298708 298708 0 659641 0 1LVBQ 67 67 184732748 2751899 302377 131043 169794540 397841408 15806 0 72790517 748824
NY 264346 733846 36946 299116 299116 0 1119688 0 1LVBQ 66 66 188255777 2811987 308052 126185 163266906 397414433 11149 0 72039799 734443
NY 264346 733846 36946 299129 299129 0 1042944 0 1LVBQ 66 66 186811324 2782541 312951 129704 166588934 403209098 11033 0 72706600 733115
NY 264346 733846 36946 298408 298408 0 768022 0 1LVBQ 66 66 184857875 2756993 300185 123934 163353948 397215442 13681 0 72902334 743713
NY 264346 733846 36946 298511 298511 0 722262 0 1LVBQ 67 67 184827150 2762258 308149 137013 170864003 404326425 14744 0 73353433 756438
NY 264346 733846 36946 299108 299108 0 1297024 5294 2LVBQ 72 72 249932980 1908765 171742 95476 171498330 507435332 7146 0 96718011 630355
NY 264346 733846 36946 299117 299117 0 1379466 5655 2LVBQ 73 73 250743226 1883955 170895 93158 178487229 525360383 7653 0 98564997 626294
NY 264346 733846 36946 298989 298989 0 1243090 5027 2LVBQ 71 71 247650283 1932398 168533 85356 171056389 511556220 7126 0 97177574 636284
NY 264346 733846 36946 298967 298967 0 1311340 5342 2LVBQ 72 72 251227504 1901286 168935 86282 170815606 507100607 6842 0 96726429 626474
NY 264346 733846 36946 299054 299054 0 1214268 4965 2LVBQ 72 72 245751333 1924219 173648 99400 171305038 501742651 6693 0 95217214 631793
