nome n m c fila mem
NY 264346 733846 36946 1LVBQ 55779328
NY 264346 733846 36946 2LVBQ 53256192
NY 264346 733846 36946 3LVBQ 52011008
NY 264346 733846 36946 4LVBQ 51769344
NY 264346 733846 36946 5LVBQ 51879936
NY 264346 733846 36946 6LVBQ 51732480
NY 264346 733846 36946 1LVBQDK 62660608
NY 264346 733846 36946 2LVBQDK 62005248
NY 264346 733846 36946 3LVBQDK 62406656
NY 264346 733846 36946 4LVBQDK 62275584
NY 264346 733846 36946 5LVBQDK 62144512
NY 264346 733846 36946 6LVBQDK 62275584
NY 264346 733846 36946 BINH 51466240
NY 264346 733846 36946 FIBH 71774208
BAY 321270 800172 94305 1LVBQ 67121152
BAY 321270 800172 94305 2LVBQ 58920960
BAY 321270 800172 94305 3LVBQ 58826752
BAY 321270 800172 94305 4LVBQ 58769408
BAY 321270 800172 94305 5LVBQ 58695680
BAY 321270 800172 94305 6LVBQ 58638336
BAY 321270 800172 94305 1LVBQDK 72282112
BAY 321270 800172 94305 2LVBQDK 71364608
BAY 321270 800172 94305 3LVBQDK 71471104
BAY 321270 800172 94305 4LVBQDK 71471104
BAY 321270 800172 94305 5LVBQDK 71467008
BAY 321270 800172 94305 6LVBQDK 71467008
BAY 321270 800172 94305 BINH 58392576
BAY 321270 800172 94305 FIBH 82923520
CAL 1890815 4657742 215354 1LVBQ 341245952
CAL 1890815 4657742 215354 2LVBQ 324628480
CAL 1890815 4657742 215354 3LVBQ 322781184
CAL 1890815 4657742 215354 4LVBQ 322715648
CAL 1890815 4657742 215354 5LVBQ 322568192
CAL 1890815 4657742 215354 6LVBQ 322801664
CAL 1890815 4657742 215354 1LVBQDK 394506240
CAL 1890815 4657742 215354 2LVBQDK 390483968
CAL 1890815 4657742 215354 3LVBQDK 398057472
CAL 1890815 4657742 215354 4LVBQDK 398147584
CAL 1890815 4657742 215354 5LVBQDK 398049280
CAL 1890815 4657742 215354 6LVBQDK 398147584
CAL 1890815 4657742 215354 BINH 322453504
CAL 1890815 4657742 215354 FIBH 466128896
COL 435666 1057066 137384 1LVBQ 89243648
COL 435666 1057066 137384 2LVBQ 79200256
COL 435666 1057066 137384 3LVBQ 76361728
COL 435666 1057066 137384 4LVBQ 76333056
COL 435666 1057066 137384 5LVBQ 76308480
COL 435666 1057066 137384 6LVBQ 76279808
COL 435666 1057066 137384 1LVBQDK 95436800
COL 435666 1057066 137384 2LVBQDK 93458432
COL 435666 1057066 137384 3LVBQDK 93609984
COL 435666 1057066 137384 4LVBQDK 93609984
