nome n m c fila mem
COL 435666 1057066 137384 5LVBQDK 93466624
COL 435666 1057066 137384 6LVBQDK 93609984
COL 435666 1057066 137384 BINH 75952128
COL 435666 1057066 137384 FIBH 109318144
FLA 1070376 2712798 214013 1LVBQ 204242944
FLA 1070376 2712798 214013 2LVBQ 189448192
FLA 1070376 2712798 214013 3LVBQ 188387328
FLA 1070376 2712798 214013 4LVBQ 188350464
FLA 1070376 2712798 214013 5LVBQ 192430080
FLA 1070376 2712798 214013 6LVBQ 192499712
FLA 1070376 2712798 214013 1LVBQDK 232669184
FLA 1070376 2712798 214013 2LVBQDK 230719488
FLA 1070376 2712798 214013 3LVBQDK 230920192
FLA 1070376 2712798 214013 4LVBQDK 230789120
FLA 1070376 2712798 214013 5LVBQDK 230916096
FLA 1070376 2712798 214013 6LVBQDK 230903808
FLA 1070376 2712798 214013 BINH 187899904
FLA 1070376 2712798 214013 FIBH 269357056
LKS 2758119 6885658 138911 1LVBQ 489963520
LKS 2758119 6885658 138911 2LVBQ 470548480
LKS 2758119 6885658 138911 3LVBQ 469700608
LKS 2758119 6885658 138911 4LVBQ 469565440
LKS 2758119 6885658 138911 5LVBQ 469377024
LKS 2758119 6885658 138911 6LVBQ 469864448
LKS 2758119 6885658 138911 1LVBQDK 572620800
LKS 2758119 6885658 138911 2LVBQDK 568463360
LKS 2758119 6885658 138911 3LVBQDK 579674112
LKS 2758119 6885658 138911 4LVBQDK 579551232
LKS 2758119 6885658 138911 5LVBQDK 579637248
LKS 2758119 6885658 138911 6LVBQDK 579723264
LKS 2758119 6885658 138911 BINH 469184512
LKS 2758119 6885658 138911 FIBH 678924288
CTR 14081816 34292496 214013 1LVBQ 2332078080
CTR 14081816 34292496 214013 2LVBQ 2307117056
CTR 14081816 34292496 214013 3LVBQ 2297507840
CTR 14081816 34292496 214013 4LVBQ 2297151488
CTR 14081816 34292496 214013 5LVBQ 2297139200
CTR 14081816 34292496 214013 6LVBQ 2296987648
CTR 14081816 34292496 214013 1LVBQDK 2805645312
CTR 14081816 34292496 214013 2LVBQDK 2803548160
CTR 14081816 34292496 214013 3LVBQDK 2860040192
CTR 14081816 34292496 214013 4LVBQDK 2860040192
CTR 14081816 34292496 214013 5LVBQDK 2859909120
CTR 14081816 34292496 214013 6LVBQDK 2860040192
CTR 14081816 34292496 214013 BINH 2296659968
CTR 14081816 34292496 214013 FIBH 3310518272
E 3598623 8778114 200760 1LVBQ 653778944
E 3598623 8778114 200760 2LVBQ 615620608
E 3598623 8778114 200760 3LVBQ 609517568
E 3598623 8778114 200760 4LVBQ 609435648
E 3598623 8778114 200760 5LVBQ 609271808
E 3598623 8778114 200760 6LVBQ 609636352
E 3598623 8778114 200760 1LVBQDK 742850560
E 3598623 8778114 200760 2LVBQDK 738701312
E 3598623 8778114 200760 3LVBQDK 753033216
E 3598623 8778114 200760 4LVBQDK 753127424
E 3598623 8778114 200760 5LVBQDK 753053696
E 3598623 8778114 200760 6LVBQDK 753147904
E 3598623 8778114 200760 BINH 609112064
E 3598623 8778114 200760 FIBH 882835456
W 6262104 15248146 368855 1LVBQ 1145278464
W 6262104 15248146 368855 2LVBQ 1053216768
W 6262104 15248146 368855 3LVBQ 1076416512
W 6262104 15248146 368855 4LVBQ 1075703808
W 6262104 15248146 368855 5LVBQ 1100668928
W 6262104 15248146 368855 6LVBQ 1050812416
W 6262104 15248146 368855 1LVBQDK 1279954944
W 6262104 15248146 368855 2LVBQDK 1275404288
W 6262104 15248146 368855 3LVBQDK 1300930560
W 6262104 15248146 368855 4LVBQDK 1301073920
W 6262104 15248146 368855 5LVBQDK 1300811776
W 6262104 15248146 368855 6LVBQDK 1300746240
W 6262104 15248146 368855 BINH 1050243072
W 6262104 15248146 368855 FIBH 1501392896
NW 1207945 2840208 128569 1LVBQ 211464192
NW 1207945 2840208 128569 2LVBQ 202604544
NW 1207945 2840208 128569 3LVBQ 202264576
NW 1207945 2840208 128569 4LVBQ 202428416
NW 1207945 2840208 128569 5LVBQ 207020032
NW 1207945 2840208 128569 6LVBQ 202227712
NW 1207945 2840208 128569 1LVBQDK 251277312
NW 1207945 2840208 128569 2LVBQDK 250314752
NW 1207945 2840208 128569 3LVBQDK 250294272
NW 1207945 2840208 128569 4LVBQDK 250425344
NW 1207945 2840208 128569 5LVBQDK 250421248
NW 1207945 2840208 128569 6LVBQDK 250421248
NW 1207945 2840208 128569 BINH 202010624
NW 1207945 2840208 128569 FIBH 293974016
NE 1524453 3897636 63247 1LVBQ 276271104
NE 1524453 3897636 63247 2LVBQ 269303808
NE 1524453 3897636 63247 3LVBQ 268689408
NE 1524453 3897636 63247 4LVBQ 274112512
NE 1524453 3897636 63247 5LVBQ 268173312
NE 1524453 3897636 63247 6LVBQ 274235392
NE 1524453 3897636 63247 1LVBQDK 323788800
NE 1524453 3897636 63247 2LVBQDK 322641920
NE 1524453 3897636 63247 3LVBQDK 329089024
NE 1524453 3897636 63247 4LVBQDK 329080832
NE 1524453 3897636 63247 5LVBQDK 329089024
NE 1524453 3897636 63247 6LVBQDK 329084928
NE 1524453 3897636 63247 BINH 267821056
NE 1524453 3897636 63247 FIBH 383967232
USA 23947347 58333344 368855 1LVBQ 3979010048
USA 23947347 58333344 368855 2LVBQ 3919847424
USA 23947347 58333344 368855 3LVBQ 3911573504
USA 23947347 58333344 368855 4LVBQ 3910885376
USA 23947347 58333344 368855 5LVBQ 3910500352
USA 23947347 58333344 368855 6LVBQ 3910643712
USA 23947347 58333344 368855 1LVBQDK 4776357888
USA 23947347 58333344 368855 2LVBQDK 4772159488
USA 23947347 58333344 368855 3LVBQDK 4868325376
USA 23947347 58333344 368855 4LVBQDK 4868325376
USA 23947347 58333344 368855 5LVBQDK 4868329472
USA 23947347 58333344 368855 6LVBQDK 4868329472
USA 23947347 58333344 368855 BINH 3910270976
USA 23947347 58333344 368855 FIBH 5634572288
