nome n m c fila cpu_time wall_time l1 l2 llc cycles inst dtlb page_faults rss branch_inst branch_miss
NY 264346 733846 36946 6LVBQ 94 94 2108939 1177943 104401 423291208 1114158162 23359 0 54492 145065019 805746
NY 264346 733846 36946 6LVBQ 95 95 2076431 1169185 106155 425395261 1114157375 22724 0 54492 145064812 805086
NY 264346 733846 36946 6LVBQ 95 95 2084912 1172414 107509 425492628 1114159880 24531 0 54492 145065366 804845
NY 264346 733846 36946 6LVBQ 94 94 2092088 1174199 104848 421786872 1114159831 23000 0 54492 145065344 805213
NY 264346 733846 36946 6LVBQ 95 95 2079031 1170612 106197 425305739 1114159483 23836 0 54492 145065280 804688
NY 264346 733846 36946 6LVBQ 95 95 2111127 1180367 107002 424757552 1114158057 22895 0 54492 145065002 805944
NY 264346 733846 36946 1LVBQDK 63 63 3441291 1521830 120523 274846334 575668151 27200 2550 58120 75436174 847611
NY 264346 733846 36946 1LVBQDK 62 62 3453546 1544774 121474 274673166 575667260 27420 2323 61228 75435771 845866
NY 264346 733846 36946 1LVBQDK 60 60 3596231 1672775 120560 272981863 575664446 25702 0 61228 75433335 845759
NY 264346 733846 36946 1LVBQDK 60 60 3596624 1672428 118932 272175098 575664993 28134 128 61740 75433564 845179
NY 264346 733846 36946 1LVBQDK 60 60 3595352 1666742 121305 271947542 575664393 26670 0 61740 75433321 845929
NY 264346 733846 36946 1LVBQDK 60 60 3608655 1673140 119720 272701285 575664704 26403 0 61740 75433395 844908
NY 264346 733846 36946 1LVBQDK 60 60 3601922 1665553 119901 272052403 575664394 26805 0 61740 75433322 844630
NY 264346 733846 36946 1LVBQDK 60 60 3604931 1675789 121251 272507095 575664703 25987 0 61740 75433394 845312
NY 264346 733846 36946 1LVBQDK 60 60 3604750 1673976 119662 271926450 575664394 25578 0 61740 75433322 845243
NY 264346 733846 36946 1LVBQDK 60 60 3601721 1671108 120616 272508761 575664704 26951 0 61740 75433395 845041
NY 264346 733846 36946 2LVBQDK 69 69 3117999 1285033 113962 304321408 653449619 30262 2550 61740 80604556 879972
