nome n m c fila extractMin insert dk 
E 3598623 8778114 200760 6LVBQ 4085628 4085627 0
E 3598623 8778114 200760 1LVBQDK 3598623 3598622 255515
E 3598623 8778114 200760 2LVBQDK 3598623 3598622 255500
E 3598623 8778114 200760 3LVBQDK 3753635 3753634 352222
E 3598623 8778114 200760 4LVBQDK 5114977 5114976 625616
E 3598623 8778114 200760 5LVBQDK 3715308 3715307 329156
E 3598623 8778114 200760 6LVBQDK 3743343 3743342 342285
E 3598623 8778114 200760 BINH 3854117 3854116 0
E 3598623 8778114 200760 FIBH 3598623 3598622 255514
W 6262104 15248146 368855 1LVBQ 6717022 6717021 0
W 6262104 15248146 368855 2LVBQ 6717008 6717007 0
W 6262104 15248146 368855 3LVBQ 8056819 8056818 0
W 6262104 15248146 368855 4LVBQ 9271661 9271660 0
W 6262104 15248146 368855 5LVBQ 6957146 6957145 0
W 6262104 15248146 368855 6LVBQ 6949067 6949066 0
W 6262104 15248146 368855 1LVBQDK 6262104 6262103 454918
W 6262104 15248146 368855 2LVBQDK 6262104 6262103 454904
W 6262104 15248146 368855 3LVBQDK 7268751 7268750 788068
W 6262104 15248146 368855 4LVBQDK 8315482 8315481 956179
W 6262104 15248146 368855 5LVBQDK 6409303 6409302 547843
W 6262104 15248146 368855 6LVBQDK 6403960 6403959 545107
W 6262104 15248146 368855 BINH 6717021 6717020 0
W 6262104 15248146 368855 FIBH 6262104 6262103 454897
NW 1207945 2840208 128569 1LVBQ 1276014 1276013 0
NW 1207945 2840208 128569 2LVBQ 1276012 1276011 0
NW 1207945 2840208 128569 3LVBQ 1337032 1337031 0
NW 1207945 2840208 128569 4LVBQ 1721220 1721219 0
NW 1207945 2840208 128569 5LVBQ 1319422 1319421 0
NW 1207945 2840208 128569 6LVBQ 1318355 1318354 0
NW 1207945 2840208 128569 1LVBQDK 1207945 1207944 68069
NW 1207945 2840208 128569 2LVBQDK 1207945 1207944 68067
NW 1207945 2840208 128569 3LVBQDK 1244436 1244435 92596
NW 1207945 2840208 128569 4LVBQDK 1567058 1567057 154162
NW 1207945 2840208 128569 5LVBQDK 1233711 1233710 85711
NW 1207945 2840208 128569 6LVBQDK 1232893 1232892 85462
NW 1207945 2840208 128569 BINH 1276015 1276014 0
NW 1207945 2840208 128569 FIBH 1207945 1207944 68060
NE 1524453 3897636 63247 1LVBQ 1662764 1662763 0
NE 1524453 3897636 63247 2LVBQ 1662739 1662738 0
NE 1524453 3897636 63247 3LVBQ 1809300 1809299 0
NE 1524453 3897636 63247 4LVBQ 2790934 2790933 0
NE 1524453 3897636 63247 5LVBQ 1778021 1778020 0
NE 1524453 3897636 63247 6LVBQ 1663052 1663051 0
NE 1524453 3897636 63247 1LVBQDK 1524453 1524452 138311
NE 1524453 3897636 63247 2LVBQDK 1524453 1524452 138286
NE 1524453 3897636 63247 3LVBQDK 1615139 1615138 194161
NE 1524453 3897636 63247 4LVBQDK 2430859 2430858 360075
NE 1524453 3897636 63247 5LVBQDK 1594973 1594972 183048
