nome n m c fila run l1 l2 llc cycles inst
CAL 1890815 4657742 215354 BINH 814 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 809 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 813 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 817 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 811 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 810 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 809 0 0 0 0 0
CAL 1890815 4657742 215354 BINH 818 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1425 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1430 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1424 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1429 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1408 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1426 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1404 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1400 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1412 0 0 0 0 0
CAL 1890815 4657742 215354 FIB 1404 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 119 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 116 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 115 0 0 0 0 0
COL 435666 1057066 137384 2LVBQDK 116 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 154 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 154 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 153 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 153 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 154 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 159 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 154 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 153 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 154 0 0 0 0 0
COL 435666 1057066 137384 1LVBQ 153 0 0 0 0 0
COL 435666 1057066 137384 BINH 175 0 0 0 0 0
COL 435666 1057066 137384 BINH 175 0 0 0 0 0
COL 435666 1057066 137384 BINH 175 0 0 0 0 0
COL 435666 1057066 137384 BINH 174 0 0 0 0 0
COL 435666 1057066 137384 BINH 174 0 0 0 0 0
COL 435666 1057066 137384 BINH 174 0 0 0 0 0
COL 435666 1057066 137384 BINH 173 0 0 0 0 0
COL 435666 1057066 137384 BINH 175 0 0 0 0 0
COL 435666 1057066 137384 BINH 174 0 0 0 0 0
COL 435666 1057066 137384 BINH 173 0 0 0 0 0
COL 435666 1057066 137384 FIB 306 0 0 0 0 0
COL 435666 1057066 137384 FIB 313 0 0 0 0 0
COL 435666 1057066 137384 FIB 308 0 0 0 0 0
COL 435666 1057066 137384 FIB 308 0 0 0 0 0
COL 435666 1057066 137384 FIB 308 0 0 0 0 0
COL 435666 1057066 137384 FIB 309 0 0 0 0 0
COL 435666 1057066 137384 FIB 307 0 0 0 0 0
COL 435666 1057066 137384 FIB 311 0 0 0 0 0
COL 435666 1057066 137384 FIB 312 0 0 0 0 0
COL 435666 1057066 137384 FIB 309 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 285 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 285 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 284 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 284 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 286 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 285 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 284 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 285 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 284 0 0 0 0 0
FLA 1070376 2712798 214013 2LVBQDK 284 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 348 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 349 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 348 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 355 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 348 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 348 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 349 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 349 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 348 0 0 0 0 0
FLA 1070376 2712798 214013 1LVBQ 351 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 435 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 440 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 437 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 440 0 0 0 0 0
FLA 1070376 2712798 214013 BINH 436 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 761 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 760 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 759 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 754 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 754 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 757 0 0 0 0 0
FLA 1070376 2712798 214013 FIB 756 0 0 0 0 0
