nome,fila,n_amostras,insert_media,insert_ic_low,insert_ic_high,insert_ic_half,insert_ic_rel_pct,extractMin_media,extractMin_ic_low,extractMin_ic_high,extractMin_ic_half,extractMin_ic_rel_pct,dk_media,dk_ic_low,dk_ic_high,dk_ic_half,dk_ic_rel_pct,bkmp_media,bkmp_ic_low,bkmp_ic_high,bkmp_ic_half,bkmp_ic_rel_pct,upd_media,upd_ic_low,upd_ic_high,upd_ic_half,upd_ic_rel_pct,cpu_time_media,cpu_time_ic_low,cpu_time_ic_high,cpu_time_ic_half,cpu_time_ic_rel_pct,wall_time_media,wall_time_ic_low,wall_time_ic_high,wall_time_ic_half,wall_time_ic_rel_pct,l1_ac_media,l1_ac_ic_low,l1_ac_ic_high,l1_ac_ic_half,l1_ac_ic_rel_pct,l1_miss_media,l1_miss_ic_low,l1_miss_ic_high,l1_miss_ic_half,l1_miss_ic_rel_pct,llc_ac_media,llc_ac_ic_low,llc_ac_ic_high,llc_ac_ic_half,llc_ac_ic_rel_pct,llc_miss_media,llc_miss_ic_low,llc_miss_ic_high,llc_miss_ic_half,llc_miss_ic_rel_pct,cycles_media,cycles_ic_low,cycles_ic_high,cycles_ic_half,cycles_ic_rel_pct,inst_media,inst_ic_low,inst_ic_high,inst_ic_half,inst_ic_rel_pct,dtlb_media,dtlb_ic_low,dtlb_ic_high,dtlb_ic_half,dtlb_ic_rel_pct,page_faults_media,page_faults_ic_low,page_faults_ic_high,page_faults_ic_half,page_faults_ic_rel_pct,branch_inst_media,branch_inst_ic_low,branch_inst_ic_high,branch_inst_ic_half,branch_inst_ic_rel_pct,branch_miss_media,branch_miss_ic_low,branch_miss_ic_high,branch_miss_ic_half,branch_miss_ic_rel_pct
NY,1LVBQ,10,298851.0,298530.2126076044,299171.7873923956,320.78739239558655,0.10734024393279143,298851.0,298530.2126076044,299171.7873923956,320.78739239558655,0.10734024393279143,0.0,0.0,0.0,0.0,,1010866.4,845215.3020890006,1176517.4979109995,165651.09791099947,16.387041641803453,0.0,0.0,0.0,0.0,,64.0,63.24594761241967,64.75405238758033,0.7540523875803304,1.1782068555942664,64.0,63.24594761241967,64.75405238758033,0.7540523875803304,1.1782068555942664,187556682.0,185501246.4037757,189612117.5962243,2055435.5962243155,1.0959010227235282,2836810.5,2799655.1056881864,2873965.8943118136,37155.3943118137,1.3097594750094765,304915.3,295724.1031792772,314106.49682072276,9191.196820722758,3.01434425255891,126992.0,120236.21541782813,133747.78458217188,6755.784582171871,5.319850527727629,159544220.2,157247194.7329189,161841245.6670811,2297025.467081094,1.4397422007526253,392657619.1,387615613.5134619,397699624.68653816,5042005.58653816,1.284071756482099,11591.8,10643.967558646635,12539.632441353364,947.8324413533641,8.17674943799379,3.2,-4.038902920771172,10.438902920771174,7.238902920771173,226.21571627409912,72550151.3,72045142.24442336,73055160.35557663,505009.0555766432,0.6960827048980162,733638.7,726454.7186877821,740822.6813122178,7183.98131221794,0.9792260566703938
NY,2LVBQ,10,298789.6,298585.28820106055,298993.9117989394,204.31179893944582,0.06837982277142371,298789.6,298585.28820106055,298993.9117989394,204.31179893944582,0.06837982277142371,0.0,0.0,0.0,0.0,,1089827.0,961107.5672579315,1218546.4327420685,128719.43274206853,11.810996859324327,4446.9,3903.8228589238033,4989.977141076196,543.0771410761961,12.212488274442784,67.4,66.43434177615806,68.36565822384195,0.9656582238419444,1.4327273350770688,67.4,66.43434177615806,68.36565822384195,0.9656582238419444,1.4327273350770688,238105600.4,231217527.4668998,244993673.3331002,6888072.933100208,2.8928647295690437,1974345.4,1916624.6429552832,2032066.1570447166,57720.757044716745,2.923538963583411,180244.0,170687.9994566172,189800.0005433828,9556.0005433828,5.30170243857371,101306.7,94001.05672000746,108612.34327999254,7305.643279992532,7.21141176249205,173307202.8,171139010.82339755,175475394.77660248,2168191.976602459,1.251068588940643,502954028.6,488793826.3340325,517114230.8659676,14160202.265967527,2.8154068683738798,8785.6,7901.9133859245885,9669.286614075412,883.6866140754114,10.058352463979823,0.0,0.0,0.0,0.0,,93281644.5,90623756.7665974,95939532.2334026,2657887.7334025945,2.8493148332120093,629517.1,622866.8689603341,636167.3310396658,6650.231039665848,1.0564019690117787
NY,3LVBQ,10,298725.8,298388.2593663386,299063.34063366137,337.54063366139115,0.11299346546612016,298725.8,298388.2593663386,299063.34063366137,337.54063366139115,0.11299346546612016,0.0,0.0,0.0,0.0,,896903.7,775709.1799023955,1018098.2200976044,121194.52009760446,13.51254544914961,327585.5,323297.17796117224,331873.82203882776,4288.322038827746,1.3090695524764515,83.6,82.37480988883799,84.825190111162,1.225190111162009,1.465538410480872,83.6,82.37480988883799,84.825190111162,1.225190111162009,1.465538410480872,312282062.6,305189054.9028794,319375070.29712063,7093007.697120594,2.271346499400441,1685885.0,1629279.7222380992,1742490.2777619008,56605.27776190087,3.357600178060833,177308.7,164321.3771090509,190296.02289094913,12987.322890949117,7.324695793804318,89821.8,80042.83766933595,99600.76233066406,9778.96233066405,10.887070099534913,208455775.4,203063995.5697081,213847555.2302919,5391779.830291903,2.586534155719968,645218590.4,627206834.365723,663230346.4342769,18011756.034276925,2.7915742513108044,8653.1,7346.574491368323,9959.625508631678,1306.525508631677,15.098929963038414,0.0,0.0,0.0,0.0,,113915937.2,111248194.75510234,116583679.64489767,2667742.444897662,2.341851816760247,722098.9,711517.937302786,732679.862697214,10580.962697213989,1.4653065801947611
NY,4LVBQ,10,298874.9,298504.05945066473,299245.7405493353,370.8405493352736,0.12407885350535411,298874.9,298504.05945066473,299245.7405493353,370.8405493352736,0.12407885350535411,0.0,0.0,0.0,0.0,,791782.5,743671.572555949,839893.427444051,48110.927444050976,6.076280726594863,359315.2,355166.4238579403,363463.9761420597,4148.776142059706,1.1546341880498532,90.6,89.6951371349036,91.50486286509638,0.9048628650963966,0.9987448842123584,90.6,89.6951371349036,91.50486286509638,0.9048628650963966,0.9987448842123584,341561491.8,338828902.14236337,344294081.45763665,2732589.657636619,0.8000286107301219,1595679.3,1558000.195703148,1633358.4042968522,37679.104296852165,2.3613206172977343,176404.0,166155.30987462806,186652.69012537194,10248.69012537193,5.809783295941095,84150.3,76599.59915199084,91701.00084800916,7550.700848009156,8.972874544724329,221627280.3,219488289.72410747,223766270.87589255,2138990.575892525,0.9651296415302013,697045555.6,690666062.4319962,703425048.7680038,6379493.168003844,0.9152189719526338,8402.3,7429.0863793260105,9375.513620673988,973.2136206739883,11.582704981659646,0.0,0.0,0.0,0.0,,122305450.8,121253844.86091405,123357056.73908594,1051605.9390859497,0.8598193557256809,778047.0,769392.3466416447,786701.6533583553,8654.653358355314,1.1123561119515033
NY,5LVBQ,10,298887.5,298685.3233112871,299089.6766887129,202.17668871290348,0.06764307263197808,298887.5,298685.3233112871,299089.6766887129,202.17668871290348,0.06764307263197808,0.0,0.0,0.0,0.0,,741009.8,691847.830383005,790171.7696169951,49161.96961699511,6.634456064817916,383046.0,376269.965081232,389822.034918768,6776.03491876797,1.7689872544728233,97.5,96.3689214186295,98.6310785813705,1.1310785813704958,1.1600805962774317,97.5,96.3689214186295,98.6310785813705,1.1310785813704958,1.1600805962774317,372902286.4,368749282.2295699,377055290.57043004,4153004.170430076,1.1136976955875475,1600239.1,1558609.3205254078,1641868.8794745924,41629.77947459238,2.601472459621339,177428.7,173063.41941303058,181793.98058696944,4365.280586969437,2.4603012855132436,84421.5,80516.57514703294,88326.42485296706,3904.924852967061,4.625509915089237,239715741.5,238905209.92841628,240526273.07158372,810531.5715837284,0.33812196333536504,766230650.7,763950139.4404364,768511161.9595637,2280511.2595636253,0.2976272559026756,8078.5,7228.133805784677,8928.866194215323,850.3661942153234,10.526288224488747,0.0,0.0,0.0,0.0,,131938435.2,130917732.47890651,132959137.9210935,1020702.721093486,0.7736204537716739,824719.5,816530.9513248245,832908.0486751755,8188.548675175493,0.9928889368052403
NY,6LVBQ,10,298760.3,298497.6056257088,299022.99437429116,262.69437429114356,0.08792813981347039,298760.3,298497.6056257088,299022.99437429116,262.69437429114356,0.08792813981347039,0.0,0.0,0.0,0.0,,687538.2,642559.388488257,732517.011511743,44978.81151174296,6.542009085712324,407034.0,398585.827319989,415482.172680011,8448.172680011025,2.0755447161689258,105.6,104.57715357657334,106.62284642342665,1.022846423426654,0.968604567638877,105.6,104.57715357657334,106.62284642342665,1.022846423426654,0.968604567638877,404088776.4,399829209.42433554,408348343.3756644,4259566.975664456,1.0541166259584478,1629569.3,1583946.5983055457,1675192.0016944543,45622.70169445431,2.799678522076619,176396.1,166886.67893738687,185905.52106261314,9509.421062613152,5.390947454401288,87653.4,79587.24630789828,95719.5536921017,8066.153692101714,9.202328366157747,260734239.2,259998579.26266465,261469899.13733533,735659.9373353464,0.28214934087388793,836739014.0,832693537.1540953,840784490.8459047,4045476.845904733,0.4834813219196605,8407.8,7551.066343904841,9264.533656095156,856.7336560951577,10.189748282489566,0.0,0.0,0.0,0.0,,141733850.6,140524991.2759336,142942709.9240664,1208859.3240663868,0.8529079813671462,908685.1,896773.9497800459,920596.2502199541,11911.150219954052,1.3108116574106974
NY,1LVBQDK,10,264346.0,264346.0,264346.0,0.0,0.0,264346.0,264346.0,264346.0,0.0,0.0,34508.9,34279.6910317556,34738.1089682444,229.20896824440158,0.6642024760117,912843.7,786220.6476694532,1039466.7523305467,126623.05233054672,13.871274165615288,0.0,0.0,0.0,0.0,,47.5,46.272491646251915,48.727508353748085,1.2275083537480842,2.5842281131538614,47.5,46.272491646251915,48.727508353748085,1.2275083537480842,2.5842281131538614,139266501.7,137536559.8795158,140996443.52048418,1729941.8204841977,1.242180854237827,2601634.5,2559279.372301404,2643989.627698596,42355.12769859597,1.6280199120436007,213195.2,202722.11435186485,223668.28564813518,10473.085648135171,4.912439702270581,106291.5,97484.91705030392,115098.08294969608,8806.582949696074,8.28531251294419,121979753.2,117802188.07292475,126157318.32707526,4177565.1270752563,3.4248020818878455,279739447.2,274908370.89732784,284570523.50267214,4831076.30267213,1.726991438292987,9976.8,8769.74362236723,11183.856377632768,1207.0563776327695,12.098632603968904,0.0,0.0,0.0,0.0,,43306151.0,42986278.23566866,43626023.76433134,319872.76433133706,0.7386312497070845,674295.1,663609.3177824682,684980.8822175318,10685.782217531838,1.5847337786574216
NY,2LVBQDK,10,264346.0,264346.0,264346.0,0.0,0.0,264346.0,264346.0,264346.0,0.0,0.0,34531.1,34319.959285679746,34742.24071432025,211.1407143202543,0.6114508785421093,985987.3,915846.0679518544,1056128.5320481458,70141.23204814563,7.113806846005585,4015.2,3719.575341010865,4310.824658989135,295.6246589891348,7.3626384486236,53.3,52.47054237366164,54.12945762633836,0.8294576263383635,1.55620567793314,53.3,52.47054237366164,54.12945762633836,0.8294576263383635,1.55620567793314,173937749.6,172825790.894648,175049708.305352,1111958.7053520088,0.6392854385601461,2352094.0,2270929.6125646797,2433258.3874353203,81164.38743532034,3.450728900941899,192708.2,183060.0044014167,202356.39559858333,9648.195598583317,5.006634693585077,102192.2,95199.95866834527,109184.44133165473,6992.241331654737,6.84224562310503,133568767.6,133223296.48704615,133914238.71295384,345471.1129538479,0.2586466276221358,330968658.3,327172642.40905213,334764674.1909479,3796015.890947902,1.1469411969235703,10267.0,9072.322411812038,11461.677588187962,1194.6775881879626,11.636092219615882,0.0,0.0,0.0,0.0,,48151594.8,47860375.85373556,48442813.746264435,291218.94626443804,0.6047960560268671,690638.6,681404.5447121045,699872.6552878955,9234.055287895504,1.33703145000808
NY,3LVBQDK,10,264346.0,264346.0,264346.0,0.0,0.0,264346.0,264346.0,264346.0,0.0,0.0,34491.9,34101.4924147618,34882.3075852382,390.4075852382043,1.1318819352897473,878652.3,804152.7788616016,953151.8211383985,74499.52113839847,8.478839825309564,294872.0,291877.5079977118,297866.4920022882,2994.492002288254,1.0155226682385083,71.1,70.31274619498855,71.88725380501144,0.7872538050114466,1.1072486709021754,71.1,70.31274619498855,71.88725380501144,0.7872538050114466,1.1072486709021754,252688376.4,251267484.81082103,254109267.989179,1420891.589178991,0.5623098337256921,2368002.8,2290215.9184605326,2445789.681539467,77786.88153946721,3.2849150997400516,193046.5,182403.35970592368,203689.64029407632,10643.140294076333,5.513252140844995,101817.0,94345.74872131384,109288.25127868616,7471.251278686165,7.337921249581274,178430395.3,177419949.6936321,179440840.90636793,1010445.6063679291,0.5662967930262323,480809671.1,475774484.9630583,485844857.23694175,5035186.136941748,1.0472306277496897,11670.0,10369.92118009573,12970.07881990427,1300.0788199042704,11.140349784955188,0.0,0.0,0.0,0.0,,65796385.1,65418004.38945851,66174765.810541496,378380.71054149175,0.5750782660269458,816568.4,811010.1058806526,822126.6941193475,5558.294119347445,0.6806893481730919
NY,4LVBQDK,10,264346.0,264346.0,264346.0,0.0,0.0,264346.0,264346.0,264346.0,0.0,0.0,34655.0,34475.81582724589,34834.18417275411,179.18417275411284,0.5170514290985798,707385.6,655486.9753385218,759284.2246614782,51898.62466147826,7.336680964593888,324806.3,319303.0012409407,330309.59875905927,5503.298759059261,1.6943325172754535,76.3,75.23094623312794,77.36905376687206,1.0690537668720643,1.4011189605138459,76.3,75.23094623312794,77.36905376687206,1.0690537668720643,1.4011189605138459,279732233.5,278146797.32811844,281317669.67188156,1585436.1718815826,0.5667692107000543,2390600.8,2282574.055043384,2498627.5449566157,108026.74495661592,4.518811545474925,188970.7,176664.45112317416,201276.94887682586,12306.248876825855,6.512252363369482,95678.8,87072.86548459533,104284.73451540468,8605.934515404673,8.994609584782285,196803229.6,194428648.81224036,199177810.38775963,2374580.787759627,1.206576128138716,541686540.0,538637578.6421554,544735501.3578446,3048961.357844594,0.5628645226895603,11527.8,10047.81836875982,13007.78163124018,1479.9816312401804,12.838370124743495,0.0,0.0,0.0,0.0,,70592139.8,70314157.66584527,70870121.93415472,277982.13415472704,0.39378624155932873,877049.1,864856.7188280863,889241.4811719137,12192.381171913676,1.3901594758963525
