nome n m c fila run l1 l2 llc cycles
BAY 321270 800172 94305 4AH 149 2156360 1452511 149483 439976615
BAY 321270 800172 94305 4AH 149 2152006 1440785 146397 439248435
BAY 321270 800172 94305 4AH 148 2163415 1434385 146271 437177122
BAY 321270 800172 94305 4AH 149 2148925 1440735 146668 439605363
BAY 321270 800172 94305 4AH 151 2157679 1465419 151547 445071877
BAY 321270 800172 94305 4AH 148 2149957 1436297 146189 438098118
BAY 321270 800172 94305 4AH 150 2165768 1464339 145621 442193020
BAY 321270 800172 94305 4AH 150 2150249 1462020 146366 443240661
BAY 321270 800172 94305 RH 260 2299230 1470486 152023 774695194
BAY 321270 800172 94305 RH 258 2294340 1454155 150473 769647667
BAY 321270 800172 94305 RH 260 2300470 1467518 152564 775530851
BAY 321270 800172 94305 RH 260 2301207 1474544 149268 774931858
BAY 321270 800172 94305 RH 259 2301830 1460346 152348 770964879
BAY 321270 800172 94305 RH 261 2310792 1460597 150840 778356256
BAY 321270 800172 94305 RH 260 2302310 1462525 151288 773373161
BAY 321270 800172 94305 RH 260 2298614 1455498 152109 774937524
BAY 321270 800172 94305 RH 260 2299978 1466189 149897 773209138
BAY 321270 800172 94305 RH 260 2299288 1469824 152872 774245753
BAY 321270 800172 94305 FIB 308 2106223 1406756 151657 918992470
BAY 321270 800172 94305 FIB 309 2096156 1403361 156022 921445627
BAY 321270 800172 94305 FIB 310 2099231 1403482 152887 927157393
BAY 321270 800172 94305 FIB 310 2091993 1405971 158578 926189368
BAY 321270 800172 94305 FIB 309 2088926 1408381 152415 923441230
BAY 321270 800172 94305 FIB 309 2096155 1405576 157270 923228805
BAY 321270 800172 94305 FIB 310 2097497 1406419 153392 926496283
BAY 321270 800172 94305 FIB 309 2095089 1403944 157058 922530196
BAY 321270 800172 94305 FIB 309 2099073 1404770 154486 922975911
BAY 321270 800172 94305 FIB 309 2097494 1401836 161336 921965865
CAL 1890815 4657742 215354 1LVBQ 819 31178748 26941885 1888126 2249624206
CAL 1890815 4657742 215354 1LVBQ 819 31148776 26939535 1892434 2247881067
CAL 1890815 4657742 215354 1LVBQ 820 31190178 27026738 1880432 2250432032
CAL 1890815 4657742 215354 1LVBQ 820 31335895 27195140 1905705 2254900985
CAL 1890815 4657742 215354 1LVBQ 815 31289496 27037104 1881353 2245931320
CAL 1890815 4657742 215354 1LVBQ 817 31309708 27161285 1897808 2246955237
CAL 1890815 4657742 215354 1LVBQ 817 31309859 27106127 1885863 2249626258
CAL 1890815 4657742 215354 1LVBQ 829 31329035 27295179 1872853 2279134923
CAL 1890815 4657742 215354 1LVBQ 818 31316509 27103885 1878874 2256178075
CAL 1890815 4657742 215354 1LVBQ 811 31318792 27071480 1865974 2237936498
CAL 1890815 4657742 215354 2LVBQ 726 23552053 14398305 1168568 2069563212
CAL 1890815 4657742 215354 2LVBQ 726 23418602 14313888 1175724 2065856563
CAL 1890815 4657742 215354 2LVBQ 733 23399707 14236808 1168939 2078347708
CAL 1890815 4657742 215354 2LVBQ 725 23664887 14500703 1166543 2067023386
CAL 1890815 4657742 215354 2LVBQ 725 23683080 14485380 1174709 2071276188
CAL 1890815 4657742 215354 2LVBQ 727 23464222 14294846 1176096 2066871370
CAL 1890815 4657742 215354 2LVBQ 724 23655685 14492044 1171302 2067757872
CAL 1890815 4657742 215354 2LVBQ 727 23627185 14410640 1175004 2071595316
CAL 1890815 4657742 215354 2LVBQ 728 23667637 14496708 1168711 2074891780
CAL 1890815 4657742 215354 2LVBQ 725 23579524 14445448 1181811 2068657635
CAL 1890815 4657742 215354 BINH 959 15895808 10581404 1026477 2795733287
CAL 1890815 4657742 215354 BINH 960 15915493 10606516 1006992 2798346134
CAL 1890815 4657742 215354 BINH 967 15662351 10399515 1032053 2805124461
CAL 1890815 4657742 215354 BINH 966 15668407 10377321 1029618 2802976831
CAL 1890815 4657742 215354 BINH 963 15679501 10365597 1010040 2795969878
CAL 1890815 4657742 215354 BINH 965 15702751 10397623 1019192 2800038196
CAL 1890815 4657742 215354 BINH 965 15645818 10346127 1021309 2798849096
CAL 1890815 4657742 215354 BINH 974 15665558 10456878 1041826 2818412325
CAL 1890815 4657742 215354 BINH 967 15667066 10431424 1022699 2801495689
CAL 1890815 4657742 215354 BINH 966 15651138 10343274 1029089 2799728574
CAL 1890815 4657742 215354 4AH 941 15760814 10481764 1019407 2724916281
CAL 1890815 4657742 215354 4AH 944 15733696 10546315 1016307 2728616402
CAL 1890815 4657742 215354 4AH 939 15723578 10456329 1020524 2718677610
CAL 1890815 4657742 215354 4AH 942 15887790 10598784 1007269 2723408564
CAL 1890815 4657742 215354 4AH 941 15787986 10530545 1017818 2722077267
CAL 1890815 4657742 215354 4AH 941 15807858 10491748 1024953 2723255592
CAL 1890815 4657742 215354 4AH 943 15748396 10525060 1030940 2723318370
CAL 1890815 4657742 215354 4AH 943 15796235 10480748 1020420 2726046963
CAL 1890815 4657742 215354 4AH 945 15719078 10510252 1024021 2730590379
