nome n m c fila mem
NY 264346 733846 36946 BINH 51728384
NY 264346 733846 36946 1LVBQ 55783424
NY 264346 733846 36946 1LVBQDK 62472192
BAY 321270 800172 94305 BINH 58499072
BAY 321270 800172 94305 1LVBQ 67047424
