nome n m c BINARY_HEAP B_HEAP RB_TREE FIBONACCI_HEAP DIAL TWO_LV_BKT_HEAP RADIX_HEAP 
BAY 321270 800172 94305 367.100006 393.100006 782.900024 623.099976 324.600006 290.200012 472.200012 
COL 435666 1057066 137384 494.899994 524.900024 1055.699951 827.099976 529.799988 496.299988 664.799988 
FLA 1070376 2712798 214013 1163.300049 1239.800049 2633.399902 2176.699951 1162.599976 1037.000000 1680.699951 
E 3598623 8778114 200760 4834.100098 4986.200195 11975.099609 9247.900391 4143.299805 3622.699951 6515.500000 
