nome n m c fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
GEN5 100000 500000 200000 6LVBQ 50 50 1941830 2479614 85743 222980590 547035343 85905 0 70036863 294861
GEN5 100000 500000 200000 6LVBQ 51 51 1947111 2494916 85556 229866621 547036948 87440 0 70037247 373456
GEN5 100000 500000 200000 6LVBQ 52 52 1938167 2462207 102347 230703803 547036312 88076 0 70037245 293963
GEN5 100000 500000 200000 6LVBQ 51 51 1940785 2472021 88615 227628028 547036446 87994 0 70037074 294236
GEN5 100000 500000 200000 1LVBQDK 37 37 2726575 4191633 135766 160075758 235564068 141867 0 29062943 385049
GEN5 100000 500000 200000 1LVBQDK 36 36 2727950 4212248 130562 157636366 235564279 147210 0 29062982 387492
GEN5 100000 500000 200000 1LVBQDK 36 36 2738843 4231066 131589 157363507 235563950 145947 0 29062916 385638
GEN5 100000 500000 200000 1LVBQDK 37 37 2718794 4212849 133942 159201183 235564277 144031 0 29062980 384916
GEN5 100000 500000 200000 1LVBQDK 36 36 2729959 4217698 131477 157906485 235564284 144900 0 29062989 385603
GEN5 100000 500000 200000 1LVBQDK 36 36 2724284 4208437 126850 156954599 235564340 142360 0 29062989 385844
GEN5 100000 500000 200000 1LVBQDK 36 36 2734754 4238006 125947 156490005 235564290 146342 0 29062991 385366
GEN5 100000 500000 200000 1LVBQDK 36 36 2720165 4220445 125612 156365821 235564340 142598 0 29062989 384611
GEN5 100000 500000 200000 1LVBQDK 36 36 2710721 4184877 125816 156980193 235564290 146016 0 29062991 385124
GEN5 100000 500000 200000 1LVBQDK 36 36 2720273 4224471 127205 156676343 235564340 143358 0 29062989 384930
GEN5 100000 500000 200000 2LVBQDK 37 37 2915539 3849456 110321 160778974 257569982 118608 0 30184127 371480
GEN5 100000 500000 200000 2LVBQDK 35 35 2915791 3852136 96843 157757443 257570772 116192 0 30184310 380485
GEN5 100000 500000 200000 2LVBQDK 35 35 2909059 3862317 93787 156922784 257570517 115924 0 30184262 372460
GEN5 100000 500000 200000 2LVBQDK 36 37 2918239 3842939 109657 160456369 257570771 115408 0 30184312 372391
GEN5 100000 500000 200000 2LVBQDK 37 38 2911698 3856894 120236 164032072 257570576 114608 0 30184275 371167
GEN5 100000 500000 200000 2LVBQDK 39 39 2906223 3828727 134122 168125563 257570763 115846 0 30184304 371785
GEN5 100000 500000 200000 2LVBQDK 36 36 2906062 3850530 101562 157985915 257570573 114098 0 30184272 381700
GEN5 100000 500000 200000 2LVBQDK 36 36 2922029 3853930 98930 158127344 257570759 116318 0 30184300 381182
GEN5 100000 500000 200000 2LVBQDK 35 35 2924684 3879485 95320 157846753 257570573 114476 0 30184272 374828
GEN5 100000 500000 200000 2LVBQDK 36 36 2917301 3852553 103584 159342697 257570760 116735 0 30184301 371395
GEN5 100000 500000 200000 3LVBQDK 40 40 2756018 3871138 129048 172580919 284502148 128124 0 30550150 266335
GEN5 100000 500000 200000 3LVBQDK 36 36 2738770 3954477 104520 160479727 284502401 119791 0 30550205 266312
GEN5 100000 500000 200000 3LVBQDK 37 37 2743377 3963786 107811 160912669 284502560 121978 0 30550244 266101
GEN5 100000 500000 200000 3LVBQDK 36 36 2749772 3966242 100805 159149514 284502582 125486 0 30550252 265349
GEN5 100000 500000 200000 3LVBQDK 36 36 2744235 3972659 102628 159693512 284502560 122308 0 30550244 267158
GEN5 100000 500000 200000 3LVBQDK 36 36 2757936 3980697 100134 159254811 284502582 124931 0 30550252 266534
GEN5 100000 500000 200000 3LVBQDK 36 36 2739259 3963232 101737 159286079 284502559 121641 0 30550243 265850
GEN5 100000 500000 200000 3LVBQDK 36 36 2745119 3962090 98939 158757003 284502582 125063 0 30550252 266002
GEN5 100000 500000 200000 3LVBQDK 36 36 2740327 3964613 101627 159506843 284502560 122842 0 30550244 267802
GEN5 100000 500000 200000 3LVBQDK 36 36 2750802 3974390 99642 158432610 284502582 124159 0 30550252 265550
GEN5 100000 500000 200000 4LVBQDK 41 41 2926899 4099159 130468 177719319 312283257 122075 0 31712989 282278
GEN5 100000 500000 200000 4LVBQDK 38 38 2927262 4090899 104761 170435792 312283674 121970 0 31713076 282468
GEN5 100000 500000 200000 4LVBQDK 38 38 2927577 4108011 106438 170937967 312283834 120503 0 31713116 281422
GEN5 100000 500000 200000 4LVBQDK 38 38 2933280 4094751 103577 170281761 312283857 124724 0 31713125 281887
GEN5 100000 500000 200000 4LVBQDK 38 38 2936512 4120275 103198 169853737 312283834 120043 0 31713116 282868
GEN5 100000 500000 200000 4LVBQDK 38 38 2939299 4109782 101296 169319768 312283856 122913 0 31713124 281921
GEN5 100000 500000 200000 4LVBQDK 38 38 2927371 4099780 105758 170661760 312283833 123686 0 31713115 281694
GEN5 100000 500000 200000 4LVBQDK 39 39 2936737 4109744 112191 172379299 312283857 123527 0 31713125 282078
GEN5 100000 500000 200000 4LVBQDK 38 38 2935589 4118046 102223 169493700 312283834 121516 0 31713116 282772
GEN5 100000 500000 200000 4LVBQDK 38 38 2930644 4091259 103354 169913973 312283857 123628 0 31713125 282758
GEN5 100000 500000 200000 5LVBQDK 42 42 3159608 4289914 115036 186554832 346803339 120790 0 33057344 324036
GEN5 100000 500000 200000 5LVBQDK 41 41 3166850 4288087 107302 185561948 346803770 118976 0 33057445 324105
GEN5 100000 500000 200000 5LVBQDK 42 42 3160923 4298027 112520 186007448 346803929 121690 0 33057484 323827
GEN5 100000 500000 200000 5LVBQDK 41 41 3168791 4303218 104471 183910567 346803951 124415 0 33057492 323404
GEN5 100000 500000 200000 5LVBQDK 41 41 3165256 4307200 104627 184215616 346803929 121863 0 33057484 324149
GEN5 100000 500000 200000 5LVBQDK 45 45 3170571 4292379 142320 195842685 346803968 127913 0 33057509 323243
GEN5 100000 500000 200000 5LVBQDK 41 41 3169568 4321058 107622 184219874 346803928 119478 0 33057483 323068
GEN5 100000 500000 200000 5LVBQDK 41 41 3172199 4304033 102879 184111710 346803952 127357 0 33057493 323570
GEN5 100000 500000 200000 5LVBQDK 41 41 3165056 4305960 108881 184750026 346803929 120910 0 33057484 324437
GEN5 100000 500000 200000 5LVBQDK 41 41 3171632 4303837 103704 183402224 346803951 125554 0 33057492 323975
GEN5 100000 500000 200000 6LVBQDK 42 42 3149907 4287869 110842 187523432 351181040 119514 0 33350147 327138
GEN5 100000 500000 200000 6LVBQDK 41 41 3162995 4307985 103530 185606312 351181470 121868 0 33350247 325686
GEN5 100000 500000 200000 6LVBQDK 42 42 3155840 4298993 106105 186472073 351181631 119628 0 33350288 325136
GEN5 100000 500000 200000 6LVBQDK 41 41 3166516 4307289 103498 185910443 351181653 127769 0 33350296 324102
GEN5 100000 500000 200000 6LVBQDK 42 42 3157765 4299712 111833 187763351 351181630 119493 0 33350287 324727
GEN5 100000 500000 200000 6LVBQDK 42 42 3163824 4298017 105660 186331112 351181653 126053 0 33350296 324209
GEN5 100000 500000 200000 6LVBQDK 42 42 3161187 4305425 106717 186132441 351181630 121542 0 33350287 324653
GEN5 100000 500000 200000 6LVBQDK 41 41 3167455 4307636 103235 185189385 351181654 124437 0 33350297 324195
GEN5 100000 500000 200000 6LVBQDK 41 41 3159059 4306640 101993 184853302 351181629 120475 0 33350286 325018
GEN5 100000 500000 200000 6LVBQDK 44 44 3151874 4294969 127446 191814093 351181664 118247 0 33350307 325376
GEN5 100000 500000 200000 BINH 79 79 3148614 3034786 92602 358761934 772873540 100042 0 93857208 1516674
GEN5 100000 500000 200000 BINH 80 80 3146763 3037889 82321 358264398 772873787 100730 0 93857260 1516999
GEN5 100000 500000 200000 BINH 81 81 3145379 3039350 91326 359675158 772873992 102478 0 93857316 1519366
GEN5 100000 500000 200000 BINH 80 80 3132042 3012510 87044 357383485 772873878 99223 0 93857281 1517454
GEN5 100000 500000 200000 BINH 80 80 3132626 3023288 83565 357684370 772873991 97063 0 93857315 1516910
GEN5 100000 500000 200000 BINH 81 81 3138048 3010379 88447 360040774 772873886 99253 0 93857289 1517646
GEN5 100000 500000 200000 BINH 80 80 3148400 3033799 81965 358336792 772873990 103385 0 93857314 1517169
GEN5 100000 500000 200000 BINH 81 81 3138344 3016733 103403 362317435 772873882 95875 0 93857285 1517636
GEN5 100000 500000 200000 BINH 80 80 3122337 2996892 82780 357093939 772873990 95014 0 93857314 1517527
GEN5 100000 500000 200000 BINH 80 80 3132425 3024929 86647 356819173 772873875 98515 0 93857278 1516305
GEN5 100000 500000 200000 FIBH 107 107 6427823 7756393 264614 473016631 613527226 346585 0 64968195 2136129
GEN5 100000 500000 200000 FIBH 100 100 5999185 7468453 196853 451998493 613993526 345354 0 65139910 2135244
GEN5 100000 500000 200000 FIBH 102 102 6416955 7859915 210721 458094602 613993502 337645 0 65139877 2137124
GEN5 100000 500000 200000 FIBH 106 106 6487656 7894511 250011 468526077 613993435 341970 0 65139867 2137701
GEN5 100000 500000 200000 FIBH 102 102 6501088 7900984 213498 459520754 613993562 338281 0 65139918 2134994
GEN5 100000 500000 200000 FIBH 106 106 6430828 7857227 250585 470046011 613993542 338830 0 65139887 2146156
GEN5 100000 500000 200000 FIBH 102 102 6413734 7873170 208667 456608319 613993555 341702 0 65139924 2150009
GEN5 100000 500000 200000 FIBH 102 102 6510538 7924535 210544 458172890 614406198 344165 0 65139797 2144810
GEN5 100000 500000 200000 FIBH 101 101 6426512 7863089 205072 455319206 613993183 337129 0 65139805 2157917
GEN5 100000 500000 200000 FIBH 105 105 6451782 7873666 236420 465426819 613993547 346280 0 65139892 2137583
GEN6 100000 500000 1999996 1LVBQ 110 110 5733535 7363906 426182 428757523 838816346 366393 12289 109620613 435208
GEN6 100000 500000 1999996 1LVBQ 115 115 6564343 8576971 456207 447094895 850095544 399652 12289 111753812 528993
GEN6 100000 500000 1999996 1LVBQ 112 112 6565472 8578223 432841 440501240 850123845 401353 12289 111754604 529723
GEN6 100000 500000 1999996 1LVBQ 112 112 6584035 8608940 437283 443341536 850098555 406898 12289 111754342 530355
GEN6 100000 500000 1999996 1LVBQ 114 114 6566523 8584353 455440 446802701 850100868 403476 12289 111754440 530856
GEN6 100000 500000 1999996 1LVBQ 115 115 6582748 8591092 456187 449154274 850098397 405637 12289 111754442 530593
GEN6 100000 500000 1999996 1LVBQ 113 113 6567537 8574502 442097 442223935 850107768 403921 12289 111754322 530296
GEN6 100000 500000 1999996 1LVBQ 113 113 6580298 8600563 439240 444314423 850097668 408602 12289 111754116 531267
GEN6 100000 500000 1999996 1LVBQ 113 113 6572223 8581727 448373 444094711 850203631 404895 12289 111754374 531285
GEN6 100000 500000 1999996 1LVBQ 114 114 6577148 8598337 448194 448284807 850097105 408273 12289 111754096 529745
GEN6 100000 500000 1999996 2LVBQ 90 90 4082878 3139432 110484 392948865 1060925233 132285 0 159178536 430382
GEN6 100000 500000 1999996 2LVBQ 89 89 4044395 3014052 97952 388682034 1059826735 129198 0 158910149 430116
GEN6 100000 500000 1999996 2LVBQ 90 90 4042713 3022103 103213 391850306 1059844113 129188 0 158928057 430596
GEN6 100000 500000 1999996 2LVBQ 90 90 4025724 3021907 98637 390204910 1059780409 127795 0 158908843 428544
GEN6 100000 500000 1999996 2LVBQ 89 89 4022708 3020648 95602 385734396 1059901656 124996 0 158946369 430719
GEN6 100000 500000 1999996 2LVBQ 88 88 4023870 3003664 96880 384023172 1059760938 124976 0 158902741 430413
GEN6 100000 500000 1999996 2LVBQ 91 91 4014369 2994920 121623 393422605 1059870828 124054 0 158936763 431200
GEN6 100000 500000 1999996 2LVBQ 89 89 4024790 3000690 101903 388411840 1059762437 124862 0 158903302 431897
GEN6 100000 500000 1999996 2LVBQ 89 89 4023594 3010203 97799 386173703 1059872795 123125 0 158937574 431164
GEN6 100000 500000 1999996 2LVBQ 89 89 4023207 3002232 98331 388340302 1059761032 124788 0 158902994 430732
GEN6 100000 500000 1999996 3LVBQ 47 47 2036047 2506123 100154 207307839 465031316 100709 91 62166665 307830
GEN6 100000 500000 1999996 3LVBQ 46 46 2031754 2492557 95495 204233474 464878811 99319 3 62132336 307935
GEN6 100000 500000 1999996 3LVBQ 46 46 2031944 2509730 98916 204265440 464882258 99154 12 62133160 307686
GEN6 100000 500000 1999996 3LVBQ 46 46 2037682 2501916 92414 201817537 464865066 99198 18 62128354 307522
GEN6 100000 500000 1999996 3LVBQ 46 46 2033980 2500392 90852 203321351 464878702 99263 1 62132373 307209
GEN6 100000 500000 1999996 3LVBQ 46 46 2025551 2484010 94117 204286378 464864751 99187 0 62128253 307290
GEN6 100000 500000 1999996 3LVBQ 47 47 2034878 2497353 103378 208703805 464878703 100294 0 62132374 307566
GEN6 100000 500000 1999996 3LVBQ 46 46 2030394 2490659 94537 203899124 464864747 99291 0 62128249 307368
GEN6 100000 500000 1999996 3LVBQ 46 46 2032912 2497375 92267 202248568 464878696 98978 0 62132367 306986
GEN6 100000 500000 1999996 3LVBQ 46 46 2026319 2481491 93088 204329498 464864757 99510 0 62128259 306808
GEN6 100000 500000 1999996 4LVBQ 48 48 1968174 2471835 88741 210675885 490219147 93828 0 64384746 297471
GEN6 100000 500000 1999996 4LVBQ 47 47 1969124 2486862 88717 210501853 490222101 95617 0 64385701 297196
GEN6 100000 500000 1999996 4LVBQ 47 47 1965002 2488918 85285 208473099 490223791 92264 0 64386226 296762
GEN6 100000 500000 1999996 4LVBQ 47 47 1968859 2492465 88298 207707835 490223900 96726 0 64386137 296958
GEN6 100000 500000 1999996 4LVBQ 48 48 1957208 2479997 94642 210861547 490223712 91877 0 64386207 296573
GEN6 100000 500000 1999996 4LVBQ 47 47 1966945 2484576 90290 209470676 490224029 95501 0 64386158 296018
GEN6 100000 500000 1999996 4LVBQ 47 47 1962687 2486850 90292 209807347 490223695 92303 0 64386206 295891
GEN6 100000 500000 1999996 4LVBQ 47 47 1958994 2477384 89228 208202826 490223930 95704 0 64386146 296220
GEN6 100000 500000 1999996 4LVBQ 47 47 1955555 2471348 90885 208706994 490223812 91555 0 64386224 296449
GEN6 100000 500000 1999996 4LVBQ 47 47 1966775 2491477 88895 208968957 490223895 96046 0 64386135 296008
GEN6 100000 500000 1999996 5LVBQ 52 52 1961960 2461363 91491 231407895 555928408 92922 0 71672679 375795
GEN6 100000 500000 1999996 5LVBQ 53 53 1965883 2473934 88672 231660556 555935893 94758 0 71674775 376914
GEN6 100000 500000 1999996 5LVBQ 53 53 1961230 2455622 87932 234395418 555932254 91912 0 71673946 376042
GEN6 100000 500000 1999996 5LVBQ 53 53 1966452 2470669 88291 231347696 555938645 95626 0 71675478 375931
GEN6 100000 500000 1999996 5LVBQ 53 53 1973248 2472861 86891 233008752 555932423 91845 0 71673989 375992
GEN6 100000 500000 1999996 5LVBQ 53 53 1974034 2476955 89527 230768477 555938639 96294 0 71675472 376934
GEN6 100000 500000 1999996 5LVBQ 54 54 1967659 2466446 96505 234696965 555932417 91703 0 71673983 375629
GEN6 100000 500000 1999996 5LVBQ 53 53 1970993 2467790 88427 232205070 555938640 95601 0 71675473 375960
GEN6 100000 500000 1999996 5LVBQ 53 53 1962882 2459012 88635 233508248 555932419 91909 0 71673985 376297
GEN6 100000 500000 1999996 5LVBQ 52 52 1966762 2463157 86661 230797528 555938637 95280 0 71675470 375860
GEN6 100000 500000 1999996 6LVBQ 61 61 1963066 2486283 99835 266300661 648261000 90511 0 82195661 438956
GEN6 100000 500000 1999996 6LVBQ 63 63 1958800 2465202 136388 274290980 648269277 89982 0 82197869 439414
GEN6 100000 500000 1999996 6LVBQ 60 60 1963419 2488805 90289 262438016 648268287 90914 0 82197561 440035
GEN6 100000 500000 1999996 6LVBQ 60 60 1965845 2481338 94760 263252364 648271127 92126 0 82198281 439231
GEN6 100000 500000 1999996 6LVBQ 60 60 1957345 2487534 90422 261731548 648268526 89468 0 82197613 439421
GEN6 100000 500000 1999996 6LVBQ 60 60 1959674 2477103 93633 260784822 648271125 92181 0 82198283 438792
GEN6 100000 500000 1999996 6LVBQ 59 59 1955026 2481187 89025 258750035 648268523 88746 0 82197610 439371
GEN6 100000 500000 1999996 6LVBQ 60 60 1959162 2461895 90592 260750252 648271133 91976 0 82198291 439846
