nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_ac l1_miss llc_ac llc_miss cycles inst dtlb page_faults branch_inst branch_miss
NY 264346 733846 36946 298760 298760 0 875156 1LVBQ 68 68 187770154 2853295 327778 139940 174261675 411683338 14140 76 74111933 759040
NY 264346 733846 36946 298765 298765 0 793429 1LVBQ 67 67 186594232 2769832 307427 132797 166297298 400688261 14048 0 73090719 747622
NY 264346 733846 36946 299090 299090 0 1266493 1LVBQ 66 66 191153391 2831534 314002 119309 159632078 399958280 10717 0 72293451 729795
NY 264346 733846 36946 299174 299174 0 777084 1LVBQ 66 66 185284807 2742005 293170 120520 158564672 390385866 12719 0 72063345 738137
NY 264346 733846 36946 299348 299348 0 905321 1LVBQ 66 66 185927701 2767935 300679 126315 160760654 393607716 12412 0 71892564 739982
NY 264346 733846 36946 299542 299542 0 972486 1LVBQ 65 65 186587221 2782658 291055 116941 159012119 397026183 11023 0 72387995 736389
NY 264346 733846 36946 299355 299355 0 889497 1LVBQ 66 66 185996104 2784570 292855 127854 166469185 404908115 12766 0 73062016 750709
NY 264346 733846 36946 298494 298494 0 813050 1LVBQ 65 65 185322132 2745301 295927 113615 159423370 396983930 12394 0 72904025 737836
NY 264346 733846 36946 299262 299262 0 824951 1LVBQ 65 65 185281053 2747338 290907 117531 158054561 391664564 12889 0 72096213 736962
NY 264346 733846 36946 299542 299542 0 1098054 1LVBQ 66 66 187894846 2806720 298624 121928 162312370 404408638 11409 0 73002420 736806
NY 264346 733846 36946 298898 298898 0 1014436 2LVBQ 71 71 235958456 2001262 187395 105504 171030834 487366077 7887 0 92732238 643228
NY 264346 733846 36946 299695 299695 0 1070678 2LVBQ 69 69 237776858 2031334 163734 84146 170011469 507065776 9293 0 92678837 617195
NY 264346 733846 36946 298940 298940 0 943884 2LVBQ 70 70 232693767 2044291 191348 109499 170661683 484984948 9957 0 91320017 639682
NY 264346 733846 36946 298261 298261 0 909114 2LVBQ 70 70 230382954 2073547 191435 106251 169977723 484812966 11469 0 89397958 622643
NY 264346 733846 36946 299036 299036 0 1240710 2LVBQ 70 70 246942465 1970433 148336 74071 169326312 518756942 7307 0 96910436 611851
NY 264346 733846 36946 298840 298840 0 1071030 2LVBQ 72 72 238767453 2016675 189809 104939 170829409 480647844 8874 0 91534611 631924
NY 264346 733846 36946 299286 299286 0 1065990 2LVBQ 71 71 238087120 1999980 180349 100768 169836628 489372011 8186 0 93280484 636217
NY 264346 733846 36946 298634 298634 0 949958 2LVBQ 71 71 232547430 2063513 197313 113059 170684289 486285495 9702 0 90875268 634332
