nome n m c insert extractMin dk bkmp fila cpu_time wall_time l1_miss l2_ref llc_miss cycles inst dtlb page_faults branch_inst branch_miss
MEM3 100000 500000 1000 144604 144604 0 1978 1LVBQ 34 34 2053886 2575683 86684 146735355 268450551 105278 1066 39023205 249005
MEM3 100000 500000 1000 144929 144929 0 1921 1LVBQ 34 34 2065011 2577485 105017 150483151 269203503 103679 0 39189441 245328
MEM3 100000 500000 1000 144817 144817 0 1651 1LVBQ 34 34 2065453 2581783 95189 147721831 269149150 105209 536 39172767 248122
MEM3 100000 500000 1000 144876 144876 0 1707 1LVBQ 32 32 2064485 2583790 82578 143982845 269111268 103636 0 39181485 246413
MEM3 100000 500000 1000 145087 145087 0 2358 1LVBQ 32 32 2076957 2593165 84045 144424498 269375320 109200 0 39216812 245502
MEM3 100000 500000 1000 144780 144780 0 2326 1LVBQ 34 34 2074623 2591239 93575 147722336 269179382 106757 518 39181259 249931
MEM3 100000 500000 1000 144671 144671 0 2064 1LVBQ 32 32 2060392 2570596 84362 144335479 268980483 104425 0 39167588 245871
MEM3 100000 500000 1000 144811 144811 0 1861 1LVBQ 32 32 2080482 2612280 82699 142808552 269196588 108056 0 39198485 245958
MEM3 100000 500000 1000 144992 144992 0 1717 1LVBQ 33 33 2067811 2579833 88487 145947563 269537291 105298 517 39234496 248887
MEM3 100000 500000 1000 144699 144699 0 1693 1LVBQ 32 32 2068314 2586391 84358 144312299 268930842 105791 0 39159646 246160
MEM3 100000 500000 1000 146049 146049 0 5016 2LVBQ 34 34 1801110 2390467 77617 154270723 323938881 88508 74 46430507 225373
MEM3 100000 500000 1000 145574 145574 0 4917 2LVBQ 34 34 1802988 2393045 77795 153250451 323553028 86934 0 46385710 224057
MEM3 100000 500000 1000 146719 146719 0 5013 2LVBQ 34 34 1807249 2387608 78289 153979025 325160318 86941 0 46601821 225567
MEM3 100000 500000 1000 152755 152755 0 5244 2LVBQ 37 37 1862348 2504039 88219 165334722 336557384 90240 503 48204197 236102
MEM3 100000 500000 1000 145898 145898 0 5112 2LVBQ 34 34 1805986 2387970 77721 154490236 323658381 88451 0 46392079 224579
MEM3 100000 500000 1000 145254 145254 0 5114 2LVBQ 34 34 1802913 2384886 77222 153686403 322863262 89666 0 46287261 224510
MEM3 100000 500000 1000 145798 145798 0 4996 2LVBQ 35 35 1797027 2385036 91736 157561741 323635285 85360 0 46389922 224046
MEM3 100000 500000 1000 145831 145831 0 5032 2LVBQ 34 34 1802750 2383256 78137 154357139 323432603 88656 0 46358905 225103
MEM3 100000 500000 1000 148113 148113 0 4893 2LVBQ 35 35 1829922 2421613 78110 157067161 328101523 89436 0 47021445 227849
MEM3 100000 500000 1000 145485 145485 0 4819 2LVBQ 34 34 1798078 2379869 80417 154396885 323483157 85019 0 46376620 224058
MEM3 100000 500000 1000 149259 149259 0 763 3LVBQ 41 41 1803289 2431862 88636 182727753 410754505 92278 440 54843981 251257
MEM3 100000 500000 1000 149531 149531 0 692 3LVBQ 40 40 1824227 2460578 84634 180675865 413203389 91421 132 55210392 251766
